,sample,date,time,n_iter,df,cnc_uranine,cnc_SrB,area1,area2,area3,area4
0,1_1_1_CorrectionData.txt,2024-11-18 18:00:00,0.0,15,1,0.20084422480446726,0.09715369488136336,8130.357758441312,7795.85942168379,1926.6246259723816,1726.5273674478885
1,1_2_1_CorrectionData.txt,2024-11-18 18:30:00,0.5,15,1,0.30598344318365983,0.13541404417166772,12386.489398262856,12401.480100146937,2383.6343070485577,2406.455600939062
2,1_3_1_CorrectionData.txt,2024-11-18 19:00:00,1.0,15,1,0.28988214438371296,0.10917968917382473,11734.694108920694,9875.890084916471,4321.389689576398,1940.2424329640392
3,1_1_2_CorrectionData.txt,2024-11-18 20:00:00,2.0,15,1,0.239638281990625,0.19650816538598026,9700.776644679949,10220.499146349946,3820.329476118318,3492.164923631258
4,1_2_2_CorrectionData.txt,2024-11-18 20:30:00,2.5,15,1,0.2961149257101361,0.13644152198410395,11987.002792744126,11269.018411776973,2435.652782342828,2424.715004915235
5,1_3_2_CorrectionData.txt,2024-11-18 21:00:00,3.0,15,1,0.22647339909381628,0.14078158648544578,9167.850154494608,9169.729192186858,4041.235808716283,2501.8426957066754
6,1_1_3_CorrectionData.txt,2024-11-18 22:00:00,4.0,15,1,0.21479269422310054,0.16942779580468476,8695.00454709841,9041.748879968338,2792.344437091782,3010.9171516365477
7,1_2_3_CorrectionData.txt,2024-11-18 22:30:00,4.5,15,1,0.29766595362452525,0.13544568347920294,12049.789820101221,11209.997640283613,2600.309791998518,2407.0178660223755
8,1_3_3_CorrectionData.txt,2024-11-18 23:00:00,5.0,15,1,0.17209743098334498,0.1272699213119096,6966.661274753943,6536.131908833708,1971.2459980358258,2261.725634483328
9,1_1_4_CorrectionData.txt,2024-11-19 00:00:00,6.0,15,1,0.19139770493743843,0.10933295387078484,7747.954001669415,7380.99166993158,1792.3249258836308,1942.9661141795439
10,1_2_4_CorrectionData.txt,2024-11-19 00:30:00,6.5,15,1,0.287614193277895,0.11679974250053642,11642.885375625505,11182.641178051183,2190.5054294350566,2075.6591108994016
11,1_3_4_CorrectionData.txt,2024-11-19 01:00:00,7.0,15,1,0.2555448807898644,0.14723022552620482,10344.690300069919,9734.443324943508,4082.561797111959,2616.4420611786636
12,1_1_5_CorrectionData.txt,2024-11-19 02:00:00,8.0,15,1,0.19884236360717644,0.11453128308797991,8049.320587805407,7606.254201238748,2085.13217579268,2035.3461072354014
13,1_2_5_CorrectionData.txt,2024-11-19 02:30:00,8.5,15,1,0.3406657415095288,0.1603220205547803,13790.460528370417,12757.431628226212,3657.5719817299596,2849.097570919752
14,1_3_5_CorrectionData.txt,2024-11-19 03:00:00,9.0,15,1,0.3126700048486225,0.1556946262750128,12657.16752487044,9354.533403758945,4071.4411124771414,2766.8637158538554
15,1_1_6_CorrectionData.txt,2024-11-19 04:00:00,10.0,15,1,0.20418539135478928,0.1370389612847381,8265.611233671192,7764.634037792366,2065.1170782570225,2435.332154414216
16,1_2_6_CorrectionData.txt,2024-11-19 04:30:00,10.5,15,1,0.25789525858404555,0.23189573516696005,10439.83574103439,10857.274989827936,4692.152087178774,4121.040724689995
17,1_3_6_CorrectionData.txt,2024-11-19 05:00:00,11.0,15,1,0.23584995819873,0.16812067221857277,9547.421835683537,9380.842845612255,3356.919399543146,2987.6881365505565
18,1_1_7_CorrectionData.txt,2024-11-19 06:00:00,12.0,15,1,0.18523569637727696,0.15937031930070936,7498.5102640988425,7477.793341410101,2617.018142669217,2832.184799225434
19,1_2_7_CorrectionData.txt,2024-11-19 06:30:00,12.5,15,1,0.22965417931532148,0.15044193230562145,9296.611044567442,10179.798021450059,1489.7215159150448,2673.5176017193708
20,1_3_7_CorrectionData.txt,2024-11-19 07:00:00,13.0,15,1,0.24074916013889397,0.15361174241769182,9745.746007280513,9359.447744100196,3704.828814076517,2729.8485926794724
21,1_1_8_CorrectionData.txt,2024-11-19 08:00:00,14.0,15,1,0.21580649533041044,0.15934615363711457,8736.044142368615,8677.954222305907,2688.4186700276377,2831.755348965206
